"name","summary","image_path","category","ingredients","instructions"
"Чашушули","Чашушули - это ароматное блюдо грузинской кухни Мясо тушится в томатном соке продолжительное время.","6jpg.jpg","Грузинская кухня","Говядина – 1 кг
Помидоры – 0,5 кг
Перец болгарский – 2 шт.
Лук репчатый – 2 шт.
Чеснок – 4 зубчика
Петрушка свежая – по вкусу
Укроп свежий – по вкусу
Кинза свежая – по вкусу
Аджика – 2 ст. ложки
Уцхо-сунели – 1 ч. ложка
Хмели-сунели – 1 ч. ложка
Кориандр – 1 ч. ложка
Лавровый лист – 2 шт.
Перец душистый горошком – 5 шт.","1)Нарезаем говядину кусочками примерным размером 3 на 3 или 4 на 4 см. Лук нарезаем полукольцами. В глубокой миске смешиваем лук с говядиной, добавив соль и аджику. Оставляем мясо мариноваться.
2)Очищаем чеснок и произвольно его нарезаем. Болгарский перец нарезаем кубиками.
3)У каждого помидора делаем крестообразный надрез. Перекладываем помидоры в глубокую ёмкость. Заливаем их кипятком и оставляем на 1 минуту. Затем снимаем с помидоров кожицу и измельчаем их при помощи блендера.
4)Произвольно нарезаем укроп, петрушку, и кинзу.
6)Ставим казан на очаг. Разводим огонь. Наливаем в казан масло и разогреваем его. Выкладываем мясо с луком. Обжариваем его в казане. Закрываем казан крышкой и тушим мясо на протяжении 30 минут.
7)Через пол часа жидкость из казана должна будет полностью выпариться. Пришло время добавлять болгарский перец. Перемешиваем содержимое казана и накрываем его крышкой, чтобы болгарский перец и специи раскрыли свой вкус и аромат.
8)Через 5 минут открываем казан и добавляем в него перетертые томаты. Перемешиваем содержимое казана. Добавляем сахар и соль. Перемешиваем содержимое казана. И оставляем тушиться до полной готовности мяса. Примерно на это уйдёт часа 1.5 – 2.
9)Когда мясо будет готово отправляем в казан чеснок и зелень. Перемешиваем и накрываем крышкой. Снимаем казан с огня и даём ему постоять 15 минут.
Блюдо готово! Подавайте его на стол горячим вместе с лавашем, чтобы им можно было собрать ароматную подливку. Приятного аппетита!"

"Оджахури","Оджахури - это мясо с картошкой, простое блюдо грузинской кухни для всей семьи (оджахури по-грузински-семейное)","7.jpg","Грузинская кухня","Свинина (шейная часть) – 220 г
Картофель – 3 шт.
Помидор (крупный) – 1 шт.
Лук репчатый – 1 шт.
Чеснок – 2-3 зубчика
Масло растительное – 90 г
Соль – по вкусу
Специи (хмели-сунели или другие) – по вкусу
Зелень свежая (укроп, базилик, кинза) – по вкусу","1)Мясо нарезаем небольшими кусочками.В сковороду вливаем растительное масло (примерно половину указанного количества), разогреваем его. Выкладываем в разогретое масло нарезанную свинину.
2)Поджариваем мясо до золотистой корочки.
3)Лук очищаем и нарезаем тонкими полукольцами. Переправляем на сковороду к свинине. Перемешиваем. Лук должен прожариться до золотистого оттенка.
4)Картофель чистим и нарезаем дольками. Параллельно с мясом в другой сковороде обжариваем картофель в оставшемся растительном масле. Приправляем немного солью и специями.
5)Поджаренный картофель добавляем на сковороду к свинине с луком.
6)Очищенные зубчики чеснока нарезаем тонкой соломкой. Чеснок отправляем к мясу с картошкой.
7)Добавляем по вкусу соль и специи (хмели-сунели). Можно также добавить часть мелко порубленной зелени.
8)Помидор нарезаем дольками, выкладываем в сковороду с картофелем и мясом. Тушим оджахури примерно две минуты.
Выкладываем готовое оджахури на тарелку, присыпаем рубленой зеленью."

"Аджапсандал","Аджапсандал или аджапсандали — ароматное блюдо из баклажанов, помидоров и сладкого перца.","8.jpg","Грузинская кухня","Баклажаны - 1 кг
Помидоры - 700 г
Перец сладкий - 500 г
Морковь - 500 г
Лук репчатый - 250 г
Чеснок - 6 зубчиков
Перец чили стручковый свежий - 1 шт.
Базилик свежий - 10 г
Кинза - 30 г
Петрушка свежая - 10 г
Уцхо-сунели - 1/2 ч. л.
Шафран - 1/2 ч. л.
Перец черный молотый - 1/2 ч. л.
Кориандр молотый - 1/2 ч. л.
Соль крупная - 1 ч. л.
Соль - 3 ст. л.
Масло растительное - 80 мл","1)Баклажаны нарезать полукружиями толщиной 7-8 мм, посыпать 3 ст. л. соли и хорошо перемешать. Оставить баклажаны на 30 минут. Затем промыть под проточной водой от соли и хорошо отжать.
2)Тем временем лук нарезать мелкими кубиками.Морковь разрезать пополам и нарезать половинками кружочков толщиной 5 мм.Сладкий перец нарезать брусочками.
3)Помидоры натереть на крупной терке, кожицу выбросить.
4)Разогреть на сковороде 60 мл растительного масла, выложить баклажаны и обжарить их до готовности, примерно 15 минут. Баклажаны должны быть мягкими, но не превратиться в кашу. Переложить баклажаны в отдельную посуду.
5)На той же сковороде обжарить перец до готовности, на среднем огне, примерно 10-15 минут. При необходимости добавить растительное масло. Перец должен быть мягким, но не потерять форму. Перец тоже снять со сковороды.
6)Обжарить лук 3 минуты.Добавить морковь, закрыть крышкой и тушить примерно 20 минут. Морковь должна быть мягкая, но не потерять форму.
7)Петрушку, базилик и кинзу мелко нашинковать. В ступке раздавить чеснок, добавить кинзу и 1 ч. л. крупной соли, все перемешать до однородной пасты.
8)В кастрюлю с толстым дном выложить обжаренные баклажаны, перец, лук с морковью, острый перец, натертые помидоры, базилик, петрушку, шафран, уцхо-сунели, молотый кориандр, молотый перец и всё хорошо перемешать.
9)Тушить овощи на слабом огне 15 минут.Добавить кинзу с чесноком и перемешать.
Аджапсандали готово. Нежнейшее овощное рагу, в котором чудесным образом различимый вкус каждого овоща создает неповторимый кулинарный шедевр."

"Хачапури по-аджарски"," Тесто замечательное, интересный процесс приготовления, а вкус - не передать, просто сказка!","9.jpg","Грузинская кухня","Молоко (теплое) - 125 мл
Вода (теплая) - 125 мл
Яйцо - 1 шт.
Масло растительное - 2 ст. ложки
Мука - 400 г
Дрожжи сухие - 7 г (1 маленький пакетик)
Сахар - 2 ч. ложки
Соль - 1 ч. ложка
Сыр моцарелла (твёрдый) - 200 г
Сыр адыгейский - 250 г
Яйца - 4-5 шт.
Масло сливочное - 100 г","1)Подготавливаем продукты для теста. Муку обязательно просеиваем. Вода и молоко должны быть теплыми.
2)В чаше смешиваем воду и молоко. Добавляем сахар, дрожжи и пару ложек муки - это будет опара. Убираем в теплое место минут на 10.
3)Дрожжи активизировались, взялись хорошей шапкой. Теперь отправляем в опару яйцо, растительное масло, соль. Перемешиваем.
4)Постепенно вводим всю муку. Поначалу тесто будет липким. Ничего страшного, так и должно быть. Прилагаем усилия - замешиваем тесто минут 10.
5)Через 10 минут тесто хорошо собралось в шар. Оно еще липкое, но уже не пристает к рукам.
6)Дрожжевое тесто убираем в чашу, накрываем крышкой (пленкой), оставляем в теплом месте и даем увеличиться в объеме. Это займет 50-60 минут.
7)Через час тесто достаем и хорошо обминаем.  Ему (тесту) от этого будет только лучше. Хорошо вымесили - убираем еще на час в теплое место.
8)Пока тесто для хачапури по-аджарски подходит, займемся начинкой. Традиционно для хачапури используется имеретинский сыр, но я сегодня взял адыгейский сыр и твёрдую моцареллу.
9)Весь сыр натираем на крупной терке. Добавляем сливочное масло  и хорошо все перемешиваем. Куриные яйца хорошо моем.
10)Раскатываем шарики в тонкую круглую лепешку толщиной 3-4 мм.Противоположные края лепешек смазываем начинкой.Защипываем края. Получилась лодочка!
11)Переносим лодочку на противень, смазываем яйцом и выкладываем в середину начинку.
12)К этому времени духовку разогрели до 220 градусов. Отправляем хачапури по-аджарски в духовку и выпекаем до слегка золотистой корочки.
Хачапури по-аджарски готовы! Лучше успеть съесть горячими, пока кто-нибудь не отобрал.Очень вкусно получилось, всем рекомендую приготовить!"

"Хинкали","Сейчас уже невозможно достоверно говорить о том,как появились хинкали,но тот факт,что Грузия без хинкали не Грузия, никто оспорить не сумеет.","10.jpeg","Грузинская кухня","Для теста:
Мука - 2 стакана
Вода (очищенная) холодная - 1 стакан
Масло растительное - 1 ст. ложка
Соль - 1 ч. ложка
Для начинки:
Фарш мясной (баранина и говядина) - 600 г
Вода холодная - 1 стакан
Соль
Перец черный молотый
Кинза свежая","1)Начнем с теста. Первым делом нам необходимо просеять на стол горкой муку. Сколько? Если вы готовите на двоих, то хватит двух стаканов, если на четверых, то, соответственно, берите 4 стакана. Ну и дальше в такой прогрессии. Муку просеиваем, собираем горкой, а наверху делаем углубление, куда вливаем столовую ложку растительного масла и всыпаем чайную ложку соли. Теперь берём стакан охлажденной чистой воды и, постепенно вливая её, замешиваем тесто.
Замешиваем тщательно, не жалея времени и сил - тесто должно получиться упругим. Сама технология замешивания такого теста проста и давно известна. Только я бы рекомендовал тем, кто готовит на небольшое количество едоков, все-таки воспользоваться глубокой миской. А то вода,знаете, имеет свойство утекать в самые неожиданные места. Например, на кулинарную книгу, которой вы пользуетесь. :-) Итак, когда тесто вымешано, накрываем его и оставляем на полчаса отдохнуть.
2)Теперь самое время заняться фаршем. В идеале это должно быть порубленное вручную мясо - смесь баранины и говядины. Но у меня, знаете, оказался под рукой уже готовый фарш, так что я немного схитрил. Особых специй фарш для хинкали не требует - соль и черный перец вполне гармонично украсят вкус мяса, в горах как-то не до изысков. Сейчас в городах существует уже очень много вариаций хинкали, где в начинку добавляется и сыр, и зелень, и грибы. Но я решил придерживаться классики. Только немного порубленной кинзы от себя и всё.
Фарш нужно хорошо вымесить, понемногу вливая в него холодную воду. Так, чтобы фарш еще не превратился в размазню, но и чтобы воды было довольно много. На 600 грамм - стакан воды. Здесь кроется секрет волшебного бульона, который в хинкали обязателен в любом случае. Вот вроде и всё с фаршем.
3)Прошло 30 минут, и теперь совсем всё готово для того, чтобы приступить к лепке чудеснейших хинкали. Разделяем кусок теста на две части и одну часть раскатываем на столе. Раскатываем тонко, буквально толщиной в 2-3 мм. Теперь берем круглую форму, например какую-то чашку, диаметром сантиметров 15. А хинкали вообще должны быть большими, некоторые делают их и того больше - размером с тарелку. Так вот, нарезали этих кругов, обрезки отправили к остальному тесту, а сами круги слегка раскатываем так, чтобы в середке тесто было потолще, а по краям утоньшалось.
4)В серединку заготовки кладем столовую ложку фарша. Меньше класть не стоит - это все-таки хинкали, но и больше не рекомендую - места для бульона не останется.
5)Защипываем тесто посредине. Это не обязательный этап, но кому-то так может оказаться легче.
6)Теперь меленькими защипами собираем тесто мешочком кверху. Мастерством повара считается сделать 25 защипов в одном хинкали. Но можно и меньше - вы же не в соревнования участвуете. Главное, чтобы всё было ровно, а сама пипка была плотно защиплена. Потому что надо взяться за неё и слегка потянуть вверх, освобождая внутри место для будущего бульона. А потом можно её немного закрутить - для красоты.
7)Ну вот, осталось только вскипятить в большой кастрюле или казане подсоленной воды и опустить туда наши хинкали вариться где-то на 15 минут. Активно помешивать их не рекомендуется, но все-таки и позволять им прилипнуть ко дну не надо. Пусть варятся хорошо. И следите, чтобы вода не убежала через край."

"Творожное бланманже с ананасом","Бланманже из творога с ананасами - восхитительный, нежный десерт. Вместо ананасов можно использовать любые консервированные или свежие фрукты.","11.jpg","Французская кухня","Творог - 250 г
Сметана - 100 г
Молоко - 100 мл
Ананас консервированный (кольца) - 2 шт.
Желатин быстрорастворимый - 1 ст. ложка
Пудра сахарная - 50 г
Сахар ванильный - 8 г","1)Подготовить продукты для бланманже из творога с ананасами.
2)В молоко всыпать желатин и оставить на 10 минут для набухания.
3)Затем поставить на водяную баню и, помешивая, довести желатин до полного растворения.
4)Творог смешать со сметаной, сахарной пудрой и ванильным сахаром.Взбить погружным блендером в полностью однородную массу.
5)Влить молоко с желатином, перемешать.Кружочки ананаса нарезать мелким кубиком.Добавить ананасы в творожную массу, перемешать.
6)Разложить творожную массу по силиконовым формочкам и поставить в холодильник до полного застывания.Затем аккуратно достать творожное бланманже из формочек и подавать.
Приятного аппетита!"

"Буйабес","Французский рыбный суп буйабес по данному рецепту готовится с белой рыбой, картофелем и помидорами. Подается буйабес с гренками.","12.jpg","Французская кухня","Рыба белая (любая) (резаная кусками) - 3 кг
Картофель (резаный кружочками) - 4 шт.
Помидоры свежие (чищеные и рубленые) - 450 г
Масло оливковое - 45 г
Лук репчатый (рубленый) - 2 шт.
Лук-порей, только белая часть (рубленый) - 2 шт.
Чеснок (рубленый) - 4 зубка
Бульон рыбный или вода - 3 л
Томатная паста - 1 ст. л.
Шафран - 1 щепотка
Букет гарни (2 веточки тимьяна+2 лаврового листа+2 веточки фенхеля) - 1 шт.
Соль - по вкусу
Перец черный молотый - по вкусу
Багет (жареные ломтики, натертые чесноком) - 16 гренок
Петрушка свежая (рубленая) - 30 г
Соус айоли (по желанию)","1)Бульон или воду довести до кипения, отставить в сторону.
В большой толстостенной кастрюле на среднем огне разогреть оливковое масло, выложить весь лук, чеснок и помидоры, готовить, помешивая, до мягкого состояния.
Залить овощи бульоном или водой, добавить томатную пасту и шафран. Выложить в кастрюлю букет гарни, довести до кипения, варить пару минут.
2)Затем добавить рыбу и картофель, готовить на медленном огне 5-8 минут, выкладывая рыбу на тарелку по мере готовности (разная рыба готовится разное время). Готовить овощи до мягкого состояния картофеля. Посолить и поперчить буйабес по вкусу.
3)Картофель и рыбу выложить в порционные тарелки (можно также выложить овощи), а суп процедить через сито. Залить бульоном рыбу с картофелем, посыпать петрушкой и подавать буйабес с гренками и соусом айоли (по желанию)."

"Пышный омлет "Пуляр" на сковороде","Оригинальный способ приготовления омлета. Омлет "Пуляр" получается очень нежным и пышным.","13.jpg","Французская кухня","Яйца - 5 шт.
Молоко или сливки (по желанию) - 2 ст. ложки
Соль - по вкусу
Масло сливочное - 1 ч. ложка","1)Яйца разделить на белки и желтки.К желткам добавить щепотку соли.
При желании можно добавить молоко или сливки. Встречаются разные вариации: кто-то добавляет, кто-то - нет. Конечно, с молоком или сливками желтки будут более нежными.
2)Яичные белки взбить со щепоткой соли до плотных пиков.
3)Сковороду (диаметр моей сковороды 24 см) прогреть на умеренном огне, добавить сливочное масло.
4)Вылить в сковороду с маслом желтки, разровнять равномерным слоем по всему дну сковороды.
5)Спустя минуту выложить на желтки белковую массу. Накрыть крышкой и жарить омлет на умеренном огне примерно 7 минут, до готовности белков.
Выложить омлет "Пуляр" на блюдо для подачи. Разрезать омлет пополам, одну часть уложить на вторую, чтобы белок оказался внутри."

"Куриное филе в лимонном соусе","Аппетитная жареная курочка с ароматным лимонным соусом, приготовленным на основе сливочного масла и специй.","14.jpeg","Французская кухня","Курица филе - 700 г
Сок лимонный - 200 мл
Масло сливочное - 200 г
Чеснок - 6 зубчиков
Лук репчатый - 5 г
Петрушка - 5 г
Соль - 1 ч.л.
Перец черный молотый - 1 ч.л.
Сахар - 3 ст.л.
Лимон (кружочки) - 5 шт.
Масло растительное - 2 ст.л.","1)Лимонный сок вылить на сковороду и довести до кипения.
2)Добавить натертый на мелкой терке репчатый лук, 1/2 ч.л. соли, 1/2 ч.л. перца, 3 ст.л. сахара и варить 1 минуту.
3)Добавить сливочное масло в три приёма, постоянно помешивая.
4)Выключить огонь и добавить 5 г мелко нарезанных листьев петрушки.Филе курицы посолить и поперчить по вкусу, обжарить на среднем огне с каждой стороны по 3 минуты, до золотистой корочки.
5)Переложить курицу в форму для выпечки и полить сверху готовым лимонным соусом.Зубчики чеснока очистить и раздавить ножом. Добавить в форму с курицей кружочки лимона и зубчики чеснока.
6)Поставить куриное филе в лимонном соусе в духовку, разогретую до 180°С, запекать 10 минут. Готовую курицу посыпать листьями свежей петрушки.
Подавать курицу с овощами, рисом или картофельным пюре.
Приятного аппетита!"

"Куриные отбивные по-французски","Куриные отбивные с грибным соусом - это отличное блюдо, которое подойдет к любому гарниру.","15.jpg","Французская кухня","Отбитые куриные грудки - 750 г
Мука - 3 ст. л.
Соль - 1/2 ч. л.
Черный молотый перец - 1/4 ч. л.
Эстрагон (рубленный) - 2 ст. л.
Оливковое или другое растительное масло - 2 ст. л.
Шампиньоны (различные сорта) - 500 г
Лук шалот (порезанный) - 1 шт.
Куриный бульон - 1 стакан
Сухое белое вино - 1/4 стакана","1)На пекарскую бумагу высыпать муку, соль, перец и 1 ст. л. рубленного эстрагона. Хорошо все перемешать и обвалять в этой смеси куриные отбивные.
2)В большой сковороде разогреть на среднем огне 1 ст. л. масла. Высыпать грибы и лук, обжарить в течение 12-15 минут. Переложить в миску.
3)В той же сковороде разогреть оставшуюся 1 ст. л. масла. Обжарить отбитое мясо по 4 минуты с каждой стороны. Переложить на блюдо.
4)В ту же сковороду налить бульон, белое вино, выложить грибы и оставшуюся 1 ст. л. рубленного эстрагона. Прокипятить около 1 минуты. Подавать грибной соус с куриными отбивными, украсив измельченным эстрагоном."

"Картофельная запеканка с фаршем","Нежное пюре, сдобренное молоком и сливочным маслом, сочный мясной фарш с травами и специями.","16.jpeg","Русская кухня","Картофель - 2 кг
Фарш мясной - 500 г
Молоко - 50 мл
Лук репчатый - 150 г
Петрушка свежая - 5 г
Кинза свежая - 5 г
Масло сливочное - 80 г + для смазывания
Масло растительное - 1 ст.л.
Перец черный молотый - 1/3 ч.л.
Перец красный чили крупного помола - 1/3 ч.л.
Кориандр молотый - 1/2 ч.л.
Яйцо куриное - 1 шт.
Соль - по вкусу","1)Картофель залить водой, посолить по вкусу и отварить до готовности.
2)Разогреть сковороду, налить 1 ст. л. растительного масла, добавить мелко нарезанный репчатый лук и обжарить в течение 3 минут.
3)Добавить фарш и хорошо перемешать. Закрыть крышкой и готовить 5 минут.Всыпать черный и красный перец, кориандр и соль по вкусу. Тушить под крышкой на слабом огне 10 минут, периодически помешивая.
4)Добавить мелко нарезанную зелень петрушки и кинзы. Выключить огонь.
5)Слить воду с картофеля и приготовить пюре: размять горячий картофель, добавить 50 мл теплого молока, 80 г сливочного масла и 1 яйцо. Хорошо все перемешать до однородного состояния.
6)Форму для запеканки смазать сливочным маслом.Выложить в форму половину картофельного пюре.Затем выложить весь фарш.Закрыть сверху второй половиной картофельного пюре.
7)Верхний слой картофеля смазать сливочным маслом.Разогреть духовку до 180°С и готовить картофельную запеканку до румяной корочки, 30 минут.
Картофельная запеканка с фаршем готова.
Приятного аппетита!"

